Id,Universitas,Rank Universitas (Indonesia),Fakultas,Program Studi,Daya Tampung,Gelar ,UKT WNI,UKT WNA,SUMBER,Tanggal Akses
68,Universitas Diponegoro,180,Teknik,Teknik Industri,60,,20000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
69,Universitas Diponegoro,180,Kedokteran,Kedokteran,,,70000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
70,Universitas Diponegoro,180,Ilmu Sosial dan Ilmu Politik,Ilmu Pemerintahan,45,,15700000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
71,Universitas Diponegoro,180,Ilmu Sosial dan Ilmu Politik,Administrasi Publik,,,17300000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
72,Universitas Diponegoro,180,Ilmu Sosial dan Ilmu Politik,Administrasi Bisnis,,,18000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
73,Universitas Diponegoro,180,Ilmu Budaya,Sastra Inggris,,,15000000,,https://pmb.undip.ac.id/sarjana/jalur-iup/ & https://espbimbel.com/daya-tampung-iup-undip-terbaru/#Daya_Tampung_IUP_UNDIP & https://pmb.undip.ac.id/wp-content/uploads/2024/07/UKT-DAN-IPI-PROGRAM-SARJANA-JALUR-IUP-UPLOAD-WEB.pdf ,5 Mei 2025
74,Universitas Padjajaran,181,,Akuntansi,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025
75,Universitas Padjajaran,181,,Manajemen,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025
76,Universitas Padjajaran,181,,Ekonomi Islam,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025
77,Universitas Padjajaran,181,,Ekonomi,40,,18000000,,https://info.admission.unpad.ac.id/IUP & https://edukasi.sindonews.com/read/1370193/211/pendaftaran-kelas-internasional-unpad-2024-dibuka-segini-biaya-kuliahnya-1714698321?showpage=all & https://www.unpad.ac.id/2024/05/pendaftaran-dibuka-14-prodi-iup-punya-kesempatan-belajar-ke-mancanegara/,6 Mei 2025
